




		
		Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Gastos protocolarios y de viajes (Corporación 2015-2019);sector-publico;gastos,protocolarios,viajes;30/09/2016;22/10/2020;01/07/2015;;informacionhistorica;Secretarías Generales Técnicas de las Áreas de Gobierno, Coordinaciones de los Distritos, y Gerencias de los Organismos Autónomos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;18551;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9acf953e27827510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encuesta de satisfacción de personas usuarias de los Centros de Atención a las Adicciones (CAD);salud;satisfacción, CAD, centros, adicciones, tratamiento;03/01/2017;13/01/2025;01/01/2015;31/12/2023;anual;Madrid Salud;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;3983;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=16a3153ef3e17510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encuesta del Servicio de  Sugerencias y Reclamaciones (serie anual);sector-publico;servicios públicos,sondeos encuestas;27/08/2015;28/01/2025;;;anual;Dirección General de Transparencia y Calidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;16000;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6f2fdf17d5e55510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Residencias de ancianos y apartamentos tutelados existentes en la ciudad de Madrid (datos georreferenciados);sociedad-bienestar;residencias, ancianos, apartamentos, tutelados;30/05/2016;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;24261;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7dda6a49c7105510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sugerencias y reclamaciones (tributarias y generales);sector-publico;SYRG SYRT;09/06/2016;19/02/2025;01/01/2016;;mensual;Dirección General de Transparencia y Calidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,xml,;33758;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=20761a5b278c4510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Deportes. Inscripción de participantes en Juegos Deportivos Municipales colectivos e individuales. Temporada en curso;deporte;inscripciones deportivas, participantes en juegos deportivos;12/05/2016;13/02/2025;01/10/2015;;mensual;Dirección General de Deporte;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3923;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=41e9077f3f4a4510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Deportes. Inscripción de alumnos de Escuelas de promoción deportiva. Temporada en curso;deporte;participantes escuelas deportivas, inscripciones;12/05/2016;13/02/2025;;06/05/2016;mensual;Dirección General de Deporte;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3619;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6809077f3f4a4510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de Puestos de Trabajo (RPT) del Ayuntamiento de Madrid y Organismos Autónomos 2016;sector-publico;rpt, puestos empleados trabajadores, puestos de trabajo;12/04/2016;30/09/2016;;01/09/2016;informacionhistorica;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;35650;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=c39572ede5904510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Locales de diversión y entretenimiento con perfil turístico de la ciudad de Madrid (www.esmadrid.com);turismo;ocio nocturno, bares coctelerías casinos, karaokes cafeterías discotecas;11/04/2016;;;;diaria;Madrid Destino, Cultura, Turismo y Negocio S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/portal/site/egob/menuitem.3efdb29b813ad8241e830cc2a8a409a0/?vgnextoid=748eb054f9edb410VgnVCM1000000b205a0aRCRD&vgnextchannel=b4c412b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;Madrid,;xml,;8378;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=54d4a73970504510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tiendas, comercios y mercados con perfil turístico de la ciudad de Madrid (www.esmadrid.com);turismo;mercados gourmet, establecimientos centenarios, tiendas de lujo;11/04/2016;;;;diaria;Madrid Destino, Cultura, Turismo y Negocio S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/portal/site/egob/menuitem.3efdb29b813ad8241e830cc2a8a409a0/?vgnextoid=748eb054f9edb410VgnVCM1000000b205a0aRCRD&vgnextchannel=b4c412b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;Madrid,;xml,;8029;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=86e3a73970504510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Restaurantes con perfil turístico de la ciudad de Madrid (www.esmadrid.com);turismo;restaurantes , restauracion , comer en Madrid;11/04/2016;;;;diaria;Madrid Destino, Cultura, Turismo y Negocio S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/portal/site/egob/menuitem.3efdb29b813ad8241e830cc2a8a409a0/?vgnextoid=748eb054f9edb410VgnVCM1000000b205a0aRCRD&vgnextchannel=b4c412b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;Madrid,;xml,;10048;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ce33a73970504510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Espacios relacionados con Deporte y Turismo de la ciudad de Madrid (www.esmadrid.com);turismo;deporte y turismo, deporte turístico, spas, alquiler de bicicletas, golf, centros deportivos;11/04/2016;;;;diaria;Madrid Destino, Cultura, Turismo y Negocio S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/portal/site/egob/menuitem.3efdb29b813ad8241e830cc2a8a409a0/?vgnextoid=748eb054f9edb410VgnVCM1000000b205a0aRCRD&vgnextchannel=b4c412b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;Madrid,;xml,;6936;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b611a73970504510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Puntos de Interés turístico de la ciudad de Madrid. Qué visitar en Madrid (www.esmadrid.com);turismo;museos monumentos exposiciones, arte en madrid;11/04/2016;;;;diaria;Madrid Destino, Cultura, Turismo y Negocio S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/portal/site/egob/menuitem.3efdb29b813ad8241e830cc2a8a409a0/?vgnextoid=748eb054f9edb410VgnVCM1000000b205a0aRCRD&vgnextchannel=b4c412b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;Madrid,;xml,;9154;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=3b70a73970504510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Conjuntos de datos publicados en datos.madrid.es;sector-publico;datasets colección;24/02/2016;14/02/2025;01/01/2016;01/02/2025;mensual;Dirección General de Transparencia y Calidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,txt,;265309;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a9b43e7c28213510VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Salas de estudio y lectura;educacion;salas de estudio,  salas de lectura, espacios de estudio;15/12/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;12552;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=2b25f4c22d4a1510VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de Puestos de Trabajo (RPT) del Ayuntamiento de Madrid y Organismos Autónomos 2015;sector-publico;rpt, puestos empleados trabajadores, puestos de trabajo;10/12/2015;28/01/2016;;;informacionhistorica;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;37052;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b94fcbb394b81510VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Deportes. Clases y actividades dirigidas para toda la temporada 2015/2016. Horarios;deporte;horarios polideportivos, horarios actividades deportivas;26/11/2015;30/11/2016;;;informacionhistorica;Dirección General de Deporte;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;903;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=f549e6c592341510VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
BiciMAD. Cuantificación económica del cumplimiento del nivel del servicio;transporte;BiciMAD;27/10/2015;10/03/2023;01/10/2014;31/10/2022;trimestral;Empresa Municipal de Transportes, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;2980;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=96e498d6ac980510VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Actividad contractual;hacienda;modificación de contratos, contratos modificados, contratos menores, contratos adjudicados, contratos basados;19/10/2015;04/02/2025;01/01/2015;31/12/2024;mensual;Dirección General de Contratación y Servicios;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;149613;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=139afaf464830510VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
BiciMAD. Disponibilidad de unidades (bicicletas) del servicio público de bicicleta eléctrica;transporte;BiciMAD;21/08/2015;31/10/2022;10/08/2015;06/01/2022;semanal;Empresa Municipal de Transportes, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;5327;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7547ff52e4a4f410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tráfico Calle 30. Estimaciones de tráfico entre entradas y salidas (Webservice);transporte;webservice , calle 30 , M30 , M-30 , TranspaTrafico , TranspaMovilidad;16/04/2015;;;;tiemporeal;Madrid Calle 30, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,;2805;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e3f8d43547cbc410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Cartografía municipal por distritos a escala 1:20000, formato SHP, ETRS89;urbanismo-infraestructuras;cartografia 1:20000 SHP ETRS;09/04/2015;22/03/2017;;;anual;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,shp,;26042;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=5994f3c89c96c410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Atención personalizada en Línea Madrid (canal presencial, telefónico y telemático @lineamadrid);sector-publico;CRM Atención al Ciudadano;05/05/2015;18/02/2025;01/01/2014;31/01/2025;mensual;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;170553;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=eb81805c7fc0c410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Centros de Enseñanza;educacion;enseñanza;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;34380;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ae29d296f030c410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Oficinas de la Agencia Tributaria Estatal;sector-publico;agencia tributaria estatal;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;10884;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=188171b3abefb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Administración de Justicia;sector-publico;administración de justicia;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;16836;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=879c71b3abefb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Comunidad de Madrid;sector-publico;madrid comunidad,Comunidad de Madrid;10/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;12278;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=176871b3abefb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Centros con Espacios Deportivos;deporte;deportes, espacios deportivos;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;13611;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=2b279e1d29efb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Centros de Atención Social;sociedad-bienestar;centros de atención social;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;14544;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=5b5737ac37efb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Centros de Atención Médica;sociedad-bienestar;centros atención médica, médicos, centros médicos;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;54351;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=da7437ac37efb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Bibliotecas Especializadas Universitarias y Nacionales;cultura-ocio;bibliotecas, bibliotecas universitarias, bibliotecas estatales;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;17730;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a9e237ac37efb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Administración Central;sector-publico;administracion, administracion central;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;10183;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b5cd37ac37efb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tráfico Calle 30. Histórico de datos de usuarios que han circulado desde 2013;transporte;Movilidad y transporte , circulación , M30 , Calle 30 , tráfico , M-30 , TranspaTrafico , TranspaMovilidad;16/04/2015;;;;diaria;Madrid Calle 30, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,;3991;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=f2fa3762b5bbb410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tráfico Calle 30. Trabajos planificados en tiempo real;transporte;Movilidad y transporte , circulación , M30 , Calle 30 , tráfico , M-30, TranspaTrafico , TranspaMovilidad;09/04/2015;;;;tiemporeal;Madrid Calle 30, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,;1518;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0744a965d3bbb410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tráfico Calle 30. Incidencias;transporte;Movilidad y transporte , circulación , M30 , Calle 30 , incidencia tráfico , M-30 , TranspaTrafico , TranspaMovilidad;09/04/2015;;;;tiemporeal;Madrid Calle 30, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,;2161;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4c7651986e1ab410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tráfico Calle 30. Estimaciones de tráfico entre las diferentes entradas y salidas;transporte;Movilidad y transporte , circulación , M30 , Calle 30 , tráfico , M-30 , TranspaTrafico , TranspaMovilidad;09/04/2015;;;;tiemporeal;Madrid Calle 30, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xml,;4084;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=8df005dc4d1ab410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Oficinas de la Agencia Municipal de Empleo;empleo;oficinas de la agencia de empleo, empleo, trabajo, oficinas, www.madrid.es;11/05/2015;;;;continua;Agencia para el Empleo;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;11905;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=17ca1addff0ab410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Madrid Salud. Estadísticas de inspecciones realizadas en seguridad alimentaria y resultados de análisis de muestras (2010-2017);salud;seguridad alimentaria, inspecciones restauracion alimentación, inpecciones en comercios;09/04/2015;05/04/2018;01/01/2010;31/12/2017;informacionhistorica;Madrid Salud;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;8675;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=187d6ff15d69b410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Madrid Salud. Estadísticas de inspecciones realizadas centros estética, aguas recreativas y centros infantiles (2010-2017);salud;centros de estética, belleza inspecciones piscinas balnearios, centros infantiles, escuelas infantiles, guarderias;09/04/2015;05/04/2018;01/01/2010;31/12/2017;sindefinir;Madrid Salud;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1202;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=c628f371cb69b410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Madrid Salud. Estadísticas centro de protección animal;salud;perros gatos animales estadísticas, protección animal, centro de protección animal;09/04/2015;06/02/2025;01/01/2012;31/12/2024;semestral;Madrid Salud;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;2643;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6f70787df969b410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Ocupación de la vía pública. Estadísticas de  rodajes (2015-2021);transporte;grabación, rodaje, ocupación, cine, documental, publicidad;09/02/2015;31/08/2021;01/01/2015;31/07/2021;informacionhistorica;Dirección General de Gestión y Vigilancia de la Circulación;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;54516;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4d4aa1946a35b410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Elecciones Senado 2000-2023;sector-publico;elecciones senado;11/12/2014;11/11/2024;;;sindefinir;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;6314;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=fbf91b506293a410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Elecciones Parlamento Europeo 1987-2024;sector-publico;elecciones parlamento europeo resultados votos electoral;03/12/2014;11/11/2024;;;sindefinir;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;6910;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=c896090e266f9410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Elecciones Asamblea de Madrid 1983-2023;sector-publico;elecciones resultados comunidad de madrid asamblea votos votaciones;03/12/2014;28/10/2024;;;sindefinir;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;12163;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=5e22eff3f46f9410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Elecciones Congreso de los Diputados 1989-2023;sector-publico;elecciones congreso diputados participacion electoral votos;03/12/2014;11/11/2024;;;sindefinir;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;8913;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ba169deabe5f9410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Mercados Municipales: locales comerciales, nombres comerciales y actividades;comercio;mercado comercio frutería carnicería puestos, actividad comercial;07/11/2014;01/07/2020;;31/12/2018;anual;Dirección General de Comercio, Hostelería y Consumo;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;6864;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=64905bfde8a89410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
