




		
		Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Ancho medio de viario;urbanismo-infraestructuras;Cubierta terrestre, viario, ancho medio, indicador;22/11/2024;;;;mensual;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;wms,;128;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=2d5e00ab35343910VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de percepción de la ciudad de Madrid por parte de las personas mayores 2024;sociedad-bienestar;estudio, percepción, Madrid, mayores, ciudades amigables;23/10/2024;24/10/2024;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad no Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;244;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a27eb600a4a92910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encuesta de satisfacción realizada entre las personas que utilizan los servicios analíticos del Laboratorio Municipal de Salud Pública 2023;salud;alimentos, aguas, estupefacientes, ensayos acreditados, seguridad alimentaria;05/11/2024;17/10/2024;;;anual;Madrid Salud;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;301;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=59217dc5a1a92910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encuesta de satisfacción de las personas usuarias de la Red de Escuelas de Música y Danza;sociedad-bienestar;calidad, profesorado, dotación, escuelas, estructura, enseñanza, música, danza, escuelas municipales;30/09/2024;13/09/2024;;;anual;Dirección General de Educación, Juventud y Voluntariado;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;81;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=59a756d3a6ae1910VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Miembros y colaboradores de la comunidad The Participatory Group;sociedad-bienestar;participación ciudadana, innovación, buenas prácticas, procesos participativos;13/09/2024;15/01/2025;01/01/2024;14/01/2025;semestral;Dirección General de Participación Ciudadana;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;428;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=5c242110246d1910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de personas usuarias de los Puntos de Encuentro Familiar (PEF);sociedad-bienestar;encuesta, satisfacción, puntos de encuentro familiar, PEF;20/09/2024;07/08/2024;;;anual;Dirección General de Familia e Infancia;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;119;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9b59f21c70d21910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias del Archivo de Villa;sociedad-bienestar;archivo, calidad, cultura, encuesta, Madrid, patrimonio, satisfacción, servicios, usuarias, villa;11/10/2024;14/10/2024;;;anual;Dirección General de Bibliotecas, Archivos y Museos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;157;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=af09f21c70d21910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Ofertas de Empleo Público del Ayuntamiento de Madrid y sus organismos autónomos;empleo;oferta empleo público, oep, oposiciones, funcionario, trabajo, administración, selección;05/08/2024;20/12/2024;01/01/2018;18/12/2024;anual;Dirección General de Planificación de Recursos Humanos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,xls,xml,;308;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=5e79f2c137221910VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Evaluación del Plan de Formación del Ayuntamiento de Madrid;empleo;evaluación, formación, Escuela Madrid Talento;10/06/2024;26/08/2024;;31/05/2024;anual;Escuela Madrid Talento;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;204;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=114d3a4959100910VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Ejecución del plan de formación del Ayuntamiento de Madrid;empleo;ejecución, formación, Escuela Madrid Talento;10/06/2024;12/12/2024;;31/08/2024;trimestral;Escuela Madrid Talento;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;182;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a8e1838311100910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Viviendas de uso turístico con licencia;vivienda;viviendas turísticas, geoportal, licencia;11/06/2024;;;;sindefinir;Agencia de Actividades;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,shp,;327;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=c012f82facdcf810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Proyecto de investigación de acompañamiento social;sociedad-bienestar;Investigación de Inclusión Social, Investigación en colaboración con el Ministerio de Inclusión social, Familias Vulnerables con menores a cargo.;22/05/2024;24/05/2024;;;informacionhistorica;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;439;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7dbf4892cc59f810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Plantilla municipal: procesos selectivos de estabilización;sector-publico;procesos de estabilización, empleo público, procesos selectivos;12/06/2024;02/01/2025;;01/01/2025;mensual;Dirección General de Planificación de Recursos Humanos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,xls,xml,;330;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=814c16a1cb59f810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Mentoring;empleo;mentoring, mentores, mentorizados, mentees;30/07/2024;06/02/2025;;;semestral;Dirección General de Planificación de Recursos Humanos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,xls,xml,;459;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=607c30eef868f810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias de los museos y exposiciones municipales;cultura-ocio;servicios públicos, sondeos, encuestas, cultura;17/05/2024;23/05/2024;;31/12/2023;anual;Dirección General de Bibliotecas, Archivos y Museos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;435;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e43a85f3be58f810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD);salud;tratamiento, adicciones, distritos, CAD, centros, reingresos;29/04/2024;28/08/2024;;30/06/2024;anual;Madrid Salud;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3467;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=31754898f592f810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Problemáticas sociales identificadas en Centros de Servicios Sociales Atención Social Primaria;sociedad-bienestar;;15/07/2024;19/02/2025;;;diaria;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,xml,;1904;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=75996c6b81f0f810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Planes de formación del Centro Integral de Formación de Seguridad y Emergencias (CIFSE);seguridad;Samur, Proteccion Civil, Movilidad, Policía Municipal, Bomberos, formacion, CIFSE;07/05/2024;19/04/2024;;;anual;Coordinación General de Seguridad y Emergencias;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,xml,;1346;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6fdfb9a5742fe810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de Satisfacción con el Programa de Escuelas Municipales de Promoción Deportiva en centros escolares;deporte;escuelas, deporte escolar, promoción;11/04/2024;15/04/2024;;;anual;Dirección General de Deporte;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;252;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=23c3cd56a4cce810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Parque Tecnológico de Valdemingómez (PTV): biogás y biometano generado a partir de los residuos;medio-ambiente;Residuos, reciclaje, Valdemingómez, tratamiento, gestión residuos, biogás, biometano, Biometanización las Dehesas, Biometanización la Paloma, Planta de Tratamiento de Biogás.;12/03/2024;07/02/2025;;31/12/2024;semestral;Dirección General del Parque Tecnológico de Valdemingómez;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;424;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ad54d4b93923e810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Parque Tecnológico de Valdemingómez (PTV): energía eléctrica generada a partir de los residuos;medio-ambiente;;12/03/2024;07/02/2025;;31/12/2024;trimestral;Dirección General del Parque Tecnológico de Valdemingómez;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;410;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=2ec957f20923e810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
